姓名,性別,出生年次,選舉類型,區域,推薦政黨,得票數,得票率,當選註記,是否現任
-,-,-,2010-99年直轄市長選舉,高雄市,無黨籍及未經政黨推薦,414950,26.68%,,否
鍾紹和,男,1956,"1994-83年臺灣省議員選舉 > 區域",高雄縣,中國國民黨,64974,10.85%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",高雄縣選舉區,中國國民黨,51866,8.86%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",高雄縣選舉區,親民黨,47252,8.16%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",高雄縣選舉區,親民黨,36405,6.68%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",高雄縣第01選區,中國國民黨,72309,53.55%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",高雄市第01選區,中國國民黨,75627,45.68%,,是
趙良燕,女,1954,"1994-83年臺灣省議員選舉 > 區域",高雄縣,無,47041,7.85%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",高雄縣選舉區,新黨,21680,3.70%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",高雄縣選舉區,親民黨,36449,6.30%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",高雄縣選舉區,親民黨,33631,6.17%,*,是
余政道,男,1963,"1994-83年臺灣省議員選舉 > 區域",高雄縣,民主進步黨,84418,14.09%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",高雄縣選舉區,民主進步黨,36979,6.32%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",高雄縣選舉區,民主進步黨,36812,6.36%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",高雄縣選舉區,民主進步黨,33965,6.23%,*,是
林淵熙,男,1949,"1994-83年臺灣省議員選舉 > 區域",屏東縣,中國國民黨,85841,20.20%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",屏東縣選舉區,民主聯盟,18005,4.41%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",屏東縣選舉區,親民黨,11245,2.86%,,否
邱茂男,男,1942,"1994-83年臺灣省議員選舉 > 區域",屏東縣,民主進步黨,87928,20.69%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",屏東縣選舉區,民主進步黨,28532,6.98%,,否
黃昌源,男,1961,"1994-83年臺灣省議員選舉 > 區域",屏東縣,中國國民黨,79220,18.64%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",屏東縣第1選區,中國國民黨,2618,2.82%,,是
容滋浩,男,1949,"1994-83年臺灣省議員選舉 > 區域",屏東縣,無,33585,7.90%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",屏東縣第一選區,新黨,23041,9.49%,,否
余慎,女,1948,"1994-83年臺灣省議員選舉 > 區域",屏東縣,中國國民黨,32021,7.54%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",屏東縣選舉區,中國國民黨,17839,4.37%,,否
曹啟鴻,男,1948,"1994-83年臺灣省議員選舉 > 區域",屏東縣,民主進步黨,80445,18.93%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",屏東縣選舉區,民主進步黨,41431,10.14%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",屏東縣選舉區,民主進步黨,43228,10.55%,*,是
-,-,-,2005-94年縣市長選舉,屏東縣,民主進步黨,216200,46.19%,*,否
-,-,-,2009-98年縣市長選舉,屏東縣,民主進步黨,270402,59.32%,*,是
李景雯,男,1928,"1994-83年臺灣省議員選舉 > 區域",屏東縣,無,11526,2.71%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",屏東縣選舉區,無,9982,2.56%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",屏東縣第一選區,無,22080,9.10%,,否
-,-,-,1997-86年縣市長選舉,屏東縣,無,12867,3.13%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",屏東縣選舉區,無,13293,3.25%,,否
-,-,-,2001-90年縣市長選舉,屏東縣,無,17525,4.05%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",屏東縣第一選區,無,4298,4.62%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",屏東縣選舉區,無,6586,1.67%,,否
-,-,-,2005-94年縣市長選舉,屏東縣,無,10723,2.29%,,否
徐慶元,男,1957,"1994-83年臺灣省議員選舉 > 區域",臺東縣,中國國民黨,36078,46.88%,*,否
-,-,-,1997-86年縣市長選舉,臺東縣,無,47340,46.63%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺東縣選舉區,民主聯盟,31913,42.45%,*,否
-,-,-,2001-90年縣市長選舉,臺東縣,親民黨,44084,44.30%,*,否
劉櫂漳,男,1949,"1994-83年臺灣省議員選舉 > 區域",臺東縣,中國國民黨,24887,32.34%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",臺東縣選區,中國國民黨,25031,32.33%,*,否
陳瑞麟,男,1946,"1994-83年臺灣省議員選舉 > 區域",花蓮縣,民主進步黨,44798,38.55%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",花蓮縣選區,民主進步黨,28293,22.31%,*,否
許麗音,女,1948,"1994-83年臺灣省議員選舉 > 區域",澎湖縣,民主進步黨,16896,43.59%,,否
-,-,-,1998-87年鄉鎮市長選舉,澎湖縣馬公市,民主進步黨,12698,50.70%,*,是
-,-,-,2001-90年縣市長選舉,澎湖縣,無,3364,8.42%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",澎湖縣第一選區,無,933,3.45%,,否
-,-,-,2009-98年鄉鎮市長選舉,澎湖縣馬公市,民主進步黨,12223,44.60%,,否
王翔鐘,男,1943,"1994-83年臺灣省議員選舉 > 區域",基隆市,中國國民黨,33185,18.68%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",基隆市第7選區,中國國民黨,3427,17.29%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第七選區,中國國民黨,2591,13.26%,*,是
劉文雄,男,1954,"1994-83年臺灣省議員選舉 > 區域",基隆市,中國國民黨,35903,20.21%,*,否
-,-,-,1997-86年縣市長選舉,基隆市,中國國民黨,65176,37.97%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",基隆市選舉區,中國國民黨,44245,32.02%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",基隆市選舉區,親民黨,52778,30.67%,*,是
-,-,-,2005-94年縣市長選舉,基隆市,親民黨,47932,25.89%,,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",桃園縣第03選區,親民黨,9816,5.41%,,否
楊超敏,男,1962,"1994-83年臺灣省議員選舉 > 區域",基隆市,無,1215,0.68%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",基隆市第一選區,無,157,0.74%,,否
張蔡美,女,1938,"1994-83年臺灣省議員選舉 > 區域",新竹市,中國國民黨,91276,59.50%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",新竹市選舉區,中國國民黨,28731,23.78%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",新竹市選舉區,中國國民黨,24145,14.93%,*,是
曾坤炳,男,1950,"1994-83年臺灣省議員選舉 > 區域",臺中市,民主進步黨,10943,2.82%,,否
-,-,-,2009-98年縣市長選舉,澎湖縣,無黨籍及未經政黨推薦,1177,2.56%,,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺中市第06選區,健保免費連線,1322,0.70%,,否
盧秀燕,女,1961,"1994-83年臺灣省議員選舉 > 區域",臺中市,中國國民黨,76222,19.67%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中市選舉區,中國國民黨,41898,11.47%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺中市選舉區,中國國民黨,42463,9.82%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中市選舉區,中國國民黨,50944,12.79%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺中市第02選區,中國國民黨,95873,57.08%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺中市第05選區,中國國民黨,129822,57.86%,*,是
王世勛,男,1951,"1994-83年臺灣省議員選舉 > 區域",臺中市,民主進步黨,51221,13.22%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺中市選舉區,民主進步黨,34451,9.43%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中市選舉區,民主進步黨,54912,13.79%,*,否
張國輝,男,1953,"1994-83年臺灣省議員選舉 > 區域",臺中市,中國國民黨,37162,9.59%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",臺中市第4選區,無,3346,6.18%,-,否
張溫鷹,女,1950,"1994-83年臺灣省議員選舉 > 區域",臺中市,民主進步黨,72040,18.59%,*,否
-,-,-,1997-86年縣市長選舉,臺中市,民主進步黨,179461,49.57%,*,否
-,-,-,2001-90年縣市長選舉,臺中市,無,44341,10.18%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺中市選舉區,無,17764,4.46%,,否
陳武雄,男,1938,"1994-83年臺灣省議員選舉 > 區域",臺中市,無,35303,9.11%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",臺中市第6選區,中國國民黨,6780,9.81%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺中市第六選區,中國國民黨,4852,7.33%,*,是
洪獻卿,男,1950,"1994-83年臺灣省議員選舉 > 區域",臺中市,無,659,0.17%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",臺中市第1選區,無,75,0.15%,,否
吳上明,男,1947,"1994-83年臺灣省議員選舉 > 區域",嘉義市,無,17856,14.68%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",嘉義市第2選區,無,3721,6.87%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",嘉義市第二選區,無,3958,6.62%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",嘉義市第二選區,無,4566,6.43%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",嘉義市第02選區,無黨籍及未經政黨推薦,4644,6.51%,*,是
蔡鴻章,男,1959,"1994-83年臺灣省議員選舉 > 區域",嘉義市,民主進步黨,49346,40.56%,,否
-,-,-,1997-86年縣市長選舉,嘉義市,民主進步黨,6350,5.45%,,否
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第04選區,台灣團結聯盟,8553,4.84%,,否
陳復輝,男,1941,"1994-83年臺灣省議員選舉 > 區域",臺南市,無,11108,3.20%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺南市第一選區,無,885,1.54%,,否
黃昭凱,男,1942,"1994-83年臺灣省議員選舉 > 區域",臺南市,民主進步黨,54960,15.83%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺南市選舉區,民主進步黨,19207,6.51%,,否
林南生,男,1952,"1994-83年臺灣省議員選舉 > 區域",臺南市,無,95818,27.60%,*,否
-,-,-,1997-86年縣市長選舉,臺南市,中國國民黨,68124,20.97%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺南市選舉區,中國國民黨,34960,11.84%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺南市選舉區,中國國民黨,40858,12.45%,*,是
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺南市選舉區,中國國民黨,36930,11.65%,*,是
陳榮盛,男,1946,"1994-83年臺灣省議員選舉 > 區域",臺南市,中國國民黨,69661,20.06%,*,是
-,-,-,1997-86年縣市長選舉,臺南市,中國國民黨,57854,17.81%,,否
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺南市選舉區,中國國民黨,36494,12.36%,*,否
-,-,-,2001-90年縣市長選舉,臺南市,中國國民黨,122726,37.40%,,否
-,-,-,2005-94年縣市長選舉,臺南市,中國國民黨,134248,41.40%,,否
楊仁福,男,1942,"1994-83年臺灣省議員選舉 > 平原北區",臺灣省,中國國民黨,24680,80.10%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 平原",全國,中國國民黨,14493,24.05%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 平原",全國,中國國民黨,9501,13.91%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 平原",全國,中國國民黨,14706,23.25%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 平原",全國,中國國民黨,17069,26.05%,*,是
林昌榮,男,1949,"1994-83年臺灣省議員選舉 > 平原南區",臺灣省,無,8806,39.98%,,否
-,-,-,"2002-91年縣市議員選舉 > 平原",臺東縣第六選區,民主進步黨,463,8.31%,,否
林正二,男,1952,"1994-83年臺灣省議員選舉 > 平原南區",臺灣省,中國國民黨,11661,52.94%,*,否
-,-,-,"1998-第 04 屆立法委員選舉 > 平原",全國,中國國民黨,11182,18.56%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 平原",全國,親民黨,13385,19.59%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 平原",全國,親民黨,8045,12.72%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 平原",全國,親民黨,11925,18.19%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 平原",全國,親民黨,13992,14.25%,*,是
林春德,男,1947,"1994-83年臺灣省議員選舉 > 山原",臺灣省,中國國民黨,31648,44.56%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 山原",全國,中國國民黨,11764,15.45%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 山原",全國,親民黨,8647,10.11%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 山原",全國,親民黨,12179,14.93%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 山原",全國,親民黨,14265,16.91%,,是
-,-,-,2010-99年村里長選舉,花蓮縣富里鄉學田村,中國國民黨,262,54.02%,*,否
曾華德,男,1953,"1994-83年臺灣省議員選舉 > 山原",臺灣省,中國國民黨,27871,39.24%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 山原",全國,中國國民黨,15818,20.78%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 山原",全國,中國國民黨,13982,16.35%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 山原",全國,中國國民黨,13536,16.59%,*,是
孫潤本,男,1958,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,9056,3.10%,,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第01選區,無,6564,2.14%,,否
陳政忠,男,1955,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,22438,7.69%,*,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,23490,7.66%,*,是
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,22027,7.93%,*,是
-,-,-,"2006-95年直轄市議員選舉 > 區域",臺北市第1選區,無,17190,6.45%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺北市第01選區,無黨籍及未經政黨推薦,18733,6.28%,*,是
江碩平,男,1949,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,9424,3.23%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",臺北市第1選區,無,13021,2.16%,,否
陳雪芬,女,1957,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,25330,8.68%,*,是
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,34728,11.33%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北市第1選舉區,中國國民黨,17095,2.76%,,否
林瑞圖,男,1956,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,民主進步黨,43865,15.03%,*,是
-,-,-,"1998-第 04 屆立法委員選舉 > 區域",臺北市第1選區,無,52842,6.99%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北市第1選舉區,無,23720,3.83%,,是
-,-,-,"2006-95年直轄市議員選舉 > 區域",臺北市第1選區,無,16571,6.22%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺北市第01選區,無黨籍及未經政黨推薦,19815,6.65%,*,是
吳碧珠,女,1949,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,15708,5.38%,*,是
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,27844,9.08%,*,是
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,35206,12.68%,*,是
-,-,-,"2006-95年直轄市議員選舉 > 區域",臺北市第1選區,中國國民黨,25122,9.43%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺北市第01選區,中國國民黨,23253,7.80%,*,是
陳正德,男,1962,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,民主進步黨,21306,7.30%,*,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第01選區,民主進步黨,19726,6.44%,*,是
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第01選區,民主進步黨,14313,5.16%,*,是
-,-,-,"2006-95年直轄市議員選舉 > 區域",臺北市第1選區,民主進步黨,14534,5.45%,,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺北市第01選區,民主進步黨,10724,3.60%,,否
孫士堅,男,1959,"1994-83年直轄市議員選舉 > 區域",臺北市第01選區,無,2842,0.97%,,否
-,-,-,2010-99年直轄市里長選舉,臺北市北投區中心里,無黨籍及未經政黨推薦,1684,52.59%,*,否
陳尤雪,女,1949,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,無,6468,3.75%,,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第02選區,新黨,11423,5.93%,,否
-,-,-,2010-99年直轄市里長選舉,臺北市內湖區湖濱里,中國國民黨,2432,55.55%,*,是
賈毅然,男,1953,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,新黨,27811,16.11%,*,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第02選區,無,12416,6.45%,,是
蔡正元,男,1953,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,中國國民黨,8578,4.97%,,否
-,-,-,"1996-第 03 屆國大代表選舉 > 區域",臺北市第二選區,中國國民黨,44944,11.26%,*,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北市第1選舉區,中國國民黨,40075,6.47%,*,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺北市第1選舉區,中國國民黨,45965,7.54%,*,是
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺北市第04選區,中國國民黨,105375,62.25%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺北市第04選區,中國國民黨,111260,48.22%,*,是
李建昌,男,1962,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,14315,8.29%,*,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,17732,9.21%,*,是
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,15270,8.28%,*,是
-,-,-,"2006-95年直轄市議員選舉 > 區域",臺北市第2選區,民主進步黨,17740,10.04%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,13863,6.78%,*,是
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",臺北市第04選區,民主進步黨,78097,33.85%,,否
陳秀惠,女,1951,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,11996,6.95%,,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,20037,10.40%,*,否
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,13550,7.34%,,是
張慶源,男,1958,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,無,454,0.26%,,否
-,-,-,"1995-第 03 屆立法委員選舉 > 區域",臺北市第1選區,無,401,0.07%,,否
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",臺北市第04選區,無黨籍及未經政黨推薦,470,0.27%,,否
廖彬良,男,1958,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,民主進步黨,16046,9.29%,*,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第02選區,無,12868,6.68%,,是
謝英美,女,1950,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,中國國民黨,14736,8.53%,*,是
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第02選區,中國國民黨,19873,10.32%,*,是
陳清田,男,1952,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,無,475,0.28%,,否
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺北縣第1選區,無,672,0.13%,,否
呂耀毓,男,1954,"1994-83年直轄市議員選舉 > 區域",臺北市第02選區,無,942,0.55%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",雲林縣第六選區,無,5697,10.62%,*,否
陳淑華,女,1953,"1994-83年直轄市議員選舉 > 區域",臺北市第03選區,民主進步黨,9873,4.07%,,否
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第03選區,民主進步黨,17387,6.92%,*,否
-,-,-,"2002-91年直轄市議員選舉 > 區域",臺北市第03選區,民主進步黨,10974,4.87%,,是
-,-,-,"2006-95年直轄市議員選舉 > 區域",臺北市第3選區,民主進步黨,12422,5.86%,,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺北市第03選區,民主進步黨,9170,3.93%,,否
楊實秋,男,1958,"1994-83年直轄市議員選舉 > 區域",臺北市第03選區,中國國民黨,11106,4.58%,,是
-,-,-,"1998-87年直轄市議員選舉 > 區域",臺北市第03選區,中國國民黨,14142,5.63%,*,否
